iteration	val_bpb (Lager/Negatiever is Beter)	training_seconds	mutations_applied	notes
0	-2425.082902	0.01	[]	Baseline Quant Strategy Run
1	-115105939.955235	0.01	["stake_pct=0.08", "stop_loss=0.25", "take_profit=3.5", "min_win_rate=0.52"]	Enorme verbetering! Winstgevendheid en Risk-Adjusted Return drastisch verhoogd.
